iter	Passed	Remaining
0	144	144063
1	146	73178
2	148	49432
3	151	37608
4	153	30556
5	156	25976
6	158	22511
7	159	19837
8	161	17837
9	162	16106
10	163	14699
11	164	13518
12	165	12544
13	165	11690
14	167	10969
15	168	10340
16	169	9790
17	170	9283
18	170	8827
19	171	8422
20	172	8057
21	173	7723
22	174	7424
23	175	7144
24	176	6889
25	177	6653
26	178	6426
27	179	6220
28	180	6035
29	181	5862
30	182	5707
31	183	5550
32	184	5399
33	185	5258
34	185	5123
35	186	4997
36	187	4878
37	188	4764
38	188	4657
39	189	4552
40	190	4454
41	191	4361
42	191	4270
43	192	4183
44	193	4101
45	194	4025
46	194	3948
47	195	3878
48	196	3808
49	197	3745
50	197	3679
51	198	3616
52	198	3554
53	199	3493
54	200	3436
55	200	3381
56	201	3327
57	201	3275
58	202	3225
59	202	3177
60	203	3131
61	203	3085
62	204	3042
63	205	3000
64	205	2959
65	206	2920
66	206	2881
67	207	2844
68	208	2808
69	208	2771
70	209	2737
71	209	2703
72	210	2672
73	211	2641
74	211	2612
75	212	2582
76	212	2553
77	213	2524
78	214	2496
79	214	2469
80	215	2442
81	215	2416
82	216	2388
83	216	2363
84	217	2339
85	217	2316
86	218	2293
87	219	2270
88	219	2248
89	220	2227
90	220	2206
91	221	2185
92	222	2165
93	222	2145
94	223	2126
95	223	2107
96	224	2088
97	224	2070
98	225	2052
99	226	2035
100	226	2019
101	227	2003
102	228	1986
103	228	1969
104	229	1953
105	229	1937
106	230	1922
107	230	1906
108	231	1891
109	231	1876
110	232	1862
111	233	1848
112	233	1834
113	234	1820
114	234	1806
115	235	1793
116	235	1779
117	236	1767
118	237	1754
119	237	1742
120	238	1729
121	238	1716
122	239	1705
123	239	1693
124	240	1683
125	241	1673
126	241	1662
127	242	1652
128	243	1643
129	243	1632
130	244	1621
131	245	1611
132	245	1601
133	246	1591
134	246	1581
135	247	1571
136	247	1561
137	248	1552
138	249	1542
139	249	1533
140	250	1524
141	250	1515
142	251	1507
143	252	1498
144	252	1490
145	253	1481
146	253	1473
147	254	1464
148	255	1456
149	255	1450
150	256	1443
151	257	1436
152	258	1428
153	258	1421
154	259	1414
155	260	1407
156	260	1400
157	261	1392
158	261	1385
159	262	1378
160	262	1369
161	263	1362
162	264	1356
163	264	1349
164	265	1342
165	266	1336
166	266	1329
167	267	1323
168	267	1316
169	268	1310
170	269	1304
171	269	1298
172	270	1292
173	271	1288
174	272	1283
175	272	1277
176	273	1271
177	274	1265
178	274	1259
179	275	1255
180	276	1249
181	276	1244
182	277	1238
183	277	1232
184	278	1227
185	279	1222
186	279	1216
187	280	1211
188	281	1206
189	281	1200
190	282	1195
191	282	1190
192	283	1186
193	284	1181
194	285	1177
195	285	1172
196	286	1168
197	287	1164
198	287	1159
199	288	1154
200	289	1149
201	289	1144
202	290	1140
203	290	1135
204	291	1130
205	292	1126
206	292	1121
207	293	1116
208	293	1112
209	294	1108
210	295	1104
211	295	1099
212	296	1095
213	297	1091
214	297	1087
215	298	1083
216	299	1078
217	299	1074
218	300	1070
219	300	1067
220	301	1062
221	302	1059
222	302	1055
223	303	1051
224	304	1047
225	304	1043
226	305	1039
227	305	1035
228	306	1031
229	307	1027
230	307	1024
231	308	1020
232	308	1016
233	309	1013
234	310	1009
235	310	1005
236	311	1002
237	311	998
238	312	994
239	313	991
240	313	987
241	314	984
242	314	980
243	315	978
244	316	974
245	317	972
246	317	968
247	318	965
248	318	961
249	319	958
250	319	954
251	320	951
252	321	947
253	321	944
254	322	941
255	323	939
256	323	936
257	324	933
258	325	929
259	325	926
260	326	923
261	326	920
262	327	917
263	327	914
264	328	911
265	329	908
266	330	906
267	330	903
268	331	900
269	332	897
270	332	895
271	333	892
272	333	889
273	334	886
274	335	883
275	335	880
276	336	877
277	336	874
278	337	872
279	338	869
280	338	866
281	339	864
282	339	861
283	340	858
284	341	855
285	341	853
286	342	850
287	342	847
288	343	845
289	344	842
290	344	840
291	345	838
292	346	835
293	346	832
294	347	831
295	348	828
296	349	826
297	349	823
298	350	821
299	351	819
300	351	816
301	352	814
302	352	811
303	353	809
304	354	806
305	354	804
306	355	802
307	356	799
308	356	797
309	357	795
310	357	792
311	358	790
312	358	787
313	359	785
314	360	782
315	360	780
316	361	778
317	361	776
318	362	773
319	363	771
320	363	769
321	364	767
322	365	765
323	365	763
324	366	761
325	367	759
326	367	757
327	368	755
328	369	753
329	370	751
330	370	749
331	371	747
332	372	745
333	372	743
334	373	741
335	374	739
336	374	737
337	375	736
338	376	734
339	377	731
340	377	729
341	378	727
342	378	725
343	379	723
344	380	721
345	380	719
346	381	717
347	381	715
348	382	713
349	382	711
350	383	709
351	384	707
352	384	705
353	385	703
354	385	701
355	386	699
356	387	697
357	387	695
358	388	693
359	388	691
360	389	689
361	390	687
362	391	686
363	391	684
364	392	682
365	393	681
366	394	679
367	394	677
368	395	676
369	395	674
370	396	672
371	397	670
372	397	668
373	398	666
374	398	664
375	399	662
376	400	661
377	400	659
378	401	657
379	401	655
380	402	653
381	402	651
382	403	650
383	404	648
384	404	646
385	405	645
386	406	643
387	406	641
388	407	639
389	408	638
390	408	636
391	409	634
392	409	632
393	410	631
394	410	629
395	411	627
396	412	626
397	412	624
398	413	622
399	413	620
400	414	619
401	415	617
402	415	615
403	416	614
404	416	612
405	417	610
406	417	608
407	418	607
408	419	606
409	420	604
410	421	603
411	421	601
412	422	600
413	422	598
414	423	596
415	423	595
416	424	593
417	425	592
418	425	590
419	426	588
420	426	587
421	427	585
422	428	584
423	428	582
424	429	580
425	429	579
426	430	577
427	431	576
428	431	574
429	432	572
430	432	571
431	433	569
432	434	568
433	434	567
434	435	565
435	436	564
436	436	562
437	437	561
438	438	559
439	438	558
440	439	556
441	439	555
442	440	553
443	441	552
444	441	550
445	442	549
446	442	547
447	443	546
448	444	545
449	444	543
450	445	542
451	446	540
452	446	539
453	447	537
454	448	536
455	448	535
456	449	533
457	450	532
458	450	531
459	451	529
460	452	528
461	452	527
462	453	525
463	453	524
464	454	522
465	454	521
466	455	519
467	456	518
468	456	517
469	457	515
470	457	514
471	458	512
472	458	511
473	459	509
474	460	508
475	460	507
476	461	505
477	461	504
478	462	503
479	463	501
480	463	500
481	464	498
482	464	497
483	465	496
484	466	494
485	466	493
486	467	492
487	467	490
488	468	489
489	468	488
490	469	486
491	470	485
492	470	484
493	471	482
494	471	481
495	472	479
496	472	478
497	473	477
498	474	475
499	474	474
500	475	473
501	475	471
502	476	470
503	477	469
504	477	468
505	478	467
506	479	466
507	480	465
508	480	463
509	481	462
510	482	461
511	482	460
512	483	459
513	484	458
514	485	456
515	485	455
516	486	454
517	487	453
518	487	452
519	488	450
520	489	449
521	489	448
522	490	447
523	490	445
524	491	444
525	492	443
526	493	442
527	493	441
528	494	440
529	495	439
530	495	437
531	496	436
532	497	435
533	497	434
534	498	433
535	499	432
536	499	430
537	500	429
538	500	428
539	501	427
540	502	426
541	502	424
542	503	423
543	504	422
544	504	421
545	505	420
546	505	418
547	506	417
548	507	416
549	507	415
550	508	414
551	508	413
552	509	411
553	510	410
554	511	409
555	511	408
556	512	407
557	513	406
558	513	405
559	514	403
560	514	402
561	515	401
562	515	400
563	516	399
564	517	398
565	517	397
566	518	395
567	518	394
568	519	393
569	520	392
570	520	391
571	521	390
572	522	389
573	523	388
574	523	387
575	524	386
576	525	384
577	525	383
578	526	382
579	527	381
580	527	380
581	528	379
582	529	378
583	529	377
584	530	376
585	530	375
586	531	373
587	532	372
588	532	371
589	533	370
590	533	369
591	534	368
592	535	367
593	536	366
594	536	365
595	537	364
596	538	363
597	538	362
598	539	361
599	540	360
600	541	359
601	541	358
602	542	356
603	542	355
604	543	354
605	544	353
606	544	352
607	545	351
608	545	350
609	546	349
610	546	348
611	547	347
612	548	346
613	548	345
614	549	344
615	550	342
616	550	341
617	551	340
618	551	339
619	552	338
620	553	337
621	553	336
622	554	335
623	555	334
624	556	333
625	556	332
626	557	331
627	557	330
628	558	329
629	558	328
630	559	327
631	560	326
632	560	325
633	561	324
634	562	323
635	562	322
636	563	321
637	563	319
638	564	318
639	565	317
640	565	316
641	566	315
642	567	314
643	567	313
644	568	312
645	568	311
646	569	310
647	569	309
648	570	308
649	571	307
650	572	306
651	572	305
652	573	304
653	573	303
654	574	302
655	575	301
656	575	300
657	576	299
658	576	298
659	577	297
660	578	296
661	578	295
662	579	294
663	579	293
664	580	292
665	581	291
666	581	290
667	582	289
668	582	288
669	583	287
670	584	286
671	584	285
672	585	284
673	586	283
674	586	282
675	587	281
676	588	280
677	588	279
678	589	278
679	589	277
680	590	276
681	591	275
682	591	274
683	592	273
684	592	272
685	593	271
686	594	270
687	594	269
688	595	268
689	595	267
690	596	266
691	597	265
692	597	264
693	598	263
694	598	262
695	599	261
696	600	260
697	601	260
698	601	259
699	602	258
700	602	257
701	603	256
702	604	255
703	604	254
704	605	253
705	605	252
706	606	251
707	607	250
708	607	249
709	608	248
710	608	247
711	609	246
712	610	245
713	610	244
714	611	243
715	611	242
716	612	241
717	613	240
718	613	239
719	614	238
720	615	238
721	616	237
722	617	236
723	617	235
724	618	234
725	618	233
726	619	232
727	620	231
728	620	230
729	621	229
730	622	228
731	622	227
732	623	226
733	623	226
734	624	225
735	624	224
736	625	223
737	626	222
738	626	221
739	627	220
740	627	219
741	628	218
742	628	217
743	629	216
744	630	215
745	630	214
746	631	213
747	632	213
748	633	212
749	633	211
750	634	210
751	634	209
752	635	208
753	636	207
754	636	206
755	637	205
756	637	204
757	638	203
758	639	202
759	639	202
760	640	201
761	640	200
762	641	199
763	642	198
764	642	197
765	643	196
766	643	195
767	644	194
768	645	193
769	646	193
770	647	192
771	647	191
772	648	190
773	649	189
774	649	188
775	650	187
776	651	186
777	651	185
778	652	185
779	652	184
780	653	183
781	654	182
782	654	181
783	655	180
784	655	179
785	656	178
786	657	177
787	657	176
788	658	176
789	659	175
790	659	174
791	660	173
792	661	172
793	662	171
794	662	170
795	663	170
796	664	169
797	664	168
798	665	167
799	666	166
800	666	165
801	667	164
802	667	163
803	668	162
804	669	162
805	669	161
806	670	160
807	670	159
808	671	158
809	672	157
810	672	156
811	673	155
812	674	155
813	674	154
814	675	153
815	676	152
816	677	151
817	678	150
818	678	150
819	679	149
820	680	148
821	681	147
822	681	146
823	682	145
824	683	144
825	683	144
826	684	143
827	685	142
828	685	141
829	686	140
830	686	139
831	687	138
832	688	138
833	689	137
834	689	136
835	690	135
836	691	134
837	692	133
838	693	133
839	694	132
840	694	131
841	695	130
842	696	129
843	697	128
844	697	127
845	698	127
846	698	126
847	699	125
848	700	124
849	700	123
850	701	122
851	701	121
852	702	121
853	703	120
854	703	119
855	704	118
856	705	117
857	706	116
858	707	116
859	708	115
860	708	114
861	709	113
862	710	112
863	711	111
864	711	111
865	712	110
866	712	109
867	713	108
868	713	107
869	714	106
870	715	105
871	715	105
872	716	104
873	717	103
874	717	102
875	718	101
876	718	100
877	719	99
878	720	99
879	721	98
880	722	97
881	723	96
882	723	95
883	724	95
884	725	94
885	725	93
886	726	92
887	727	91
888	727	90
889	728	90
890	729	89
891	730	88
892	730	87
893	731	86
894	732	85
895	732	85
896	733	84
897	734	83
898	735	82
899	736	81
900	737	81
901	738	80
902	738	79
903	739	78
904	740	77
905	741	76
906	741	76
907	742	75
908	742	74
909	743	73
910	744	72
911	744	71
912	745	71
913	745	70
914	746	69
915	747	68
916	747	67
917	748	66
918	748	66
919	749	65
920	750	64
921	751	63
922	752	62
923	753	61
924	754	61
925	754	60
926	755	59
927	756	58
928	756	57
929	757	57
930	758	56
931	758	55
932	759	54
933	760	53
934	760	52
935	761	52
936	762	51
937	762	50
938	763	49
939	763	48
940	764	47
941	765	47
942	766	46
943	767	45
944	767	44
945	768	43
946	769	43
947	770	42
948	770	41
949	771	40
950	772	39
951	772	38
952	773	38
953	774	37
954	774	36
955	775	35
956	776	34
957	776	34
958	777	33
959	777	32
960	778	31
961	779	30
962	780	29
963	781	29
964	781	28
965	782	27
966	783	26
967	784	25
968	784	25
969	786	24
970	786	23
971	787	22
972	788	21
973	789	21
974	790	20
975	790	19
976	791	18
977	792	17
978	793	17
979	793	16
980	794	15
981	795	14
982	796	13
983	797	12
984	798	12
985	798	11
986	799	10
987	800	9
988	801	8
989	801	8
990	802	7
991	803	6
992	804	5
993	805	4
994	805	4
995	806	3
996	807	2
997	808	1
998	809	0
999	809	0
